seqnames	start	end	width	strand	V4	V5	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
9	79668294	79668693	400	*	*	-3.22971739591918	Promoter (1-2kb)	9	79662643	79667160	4518	2	ENSMUSG00000032330	ENSMUST00000034881	-1134
5	149184586	149184985	400	*	*	-3.15847815090537	Promoter (<=1kb)	5	149184760	149184837	78	2	ENSMUSG00002074933	ENSMUST00020182153	0
8	122414838	122415237	400	*	*	-2.71866504463915	Distal Intergenic	8	122393553	122400827	7275	2	ENSMUSG00000110673	ENSMUST00000211931	-14011
6	138510479	138510878	400	*	*	-4.86201335552862	Intron (ENSMUST00000162772/ENSMUSG00000030226, intron 1 of 4)	6	138557622	138576312	18691	1	ENSMUSG00000100166	ENSMUST00000190868	-46744
6	127421190	127421589	400	*	*	-3.77082662564525	Promoter (2-3kb)	6	127423803	127471203	47401	1	ENSMUSG00000037997	ENSMUST00000112191	-2214
12	59309597	59309996	400	*	*	-6.06260200243394	Promoter (<=1kb)	12	59309459	59309770	312	1	ENSMUSG00000112385	ENSMUST00000217964	138
4	108650662	108651061	400	*	*	-3.04066415533378	Distal Intergenic	4	108494663	108637995	143333	2	ENSMUSG00000034557	ENSMUST00000106657	-12667
X	9940594	9940993	400	*	*	-3.11568840379084	Intron (ENSMUST00000044789/ENSMUSG00000090084, intron 1 of 9)	20	9905146	9983844	78699	2	ENSMUSG00000090084	ENSMUST00000115543	42851
8	74173640	74174039	400	*	*	-4.09126944411276	Distal Intergenic	8	74163199	74164232	1034	2	ENSMUSG00000110450	ENSMUST00000212078	-9408
2	120376932	120377331	400	*	*	-3.38355656022471	Intron (ENSMUST00000055241/ENSMUSG00000027288, intron 2 of 21)	2	120340095	120370341	30247	2	ENSMUSG00000027288	ENSMUST00000171215	-6591
1	139612986	139613385	400	*	*	-4.21655118610533	Distal Intergenic	1	139599342	139599445	104	1	ENSMUSG00000119797	ENSMUST00000122621	13644
14	4002261	4002660	400	*	*	-3.72161472890215	Distal Intergenic	14	4023666	4023821	156	2	ENSMUSG00000065858	ENSMUST00000083924	21161
11	7826947	7827346	400	*	*	-5.58929994745604	Distal Intergenic	11	7836444	7836505	62	2	ENSMUSG00000098853	ENSMUST00000157263	9159
13	32352733	32353132	400	*	*	-4.48571014534584	Intron (ENSMUST00000041859/ENSMUSG00000038372, intron 4 of 10)	13	32341313	32411224	69912	2	ENSMUSG00000038372	ENSMUST00000178313	58092
18	10064040	10064439	400	*	*	-3.89791024193209	3' UTR	18	10065679	10067910	2232	2	ENSMUSG00000024290	ENSMUST00000235067	3471
6	111541182	111541581	400	*	*	-4.37888310320284	Intron (ENSMUST00000071076/ENSMUSG00000056755, intron 10 of 10)	6	111580213	111580323	111	1	ENSMUSG00002075183	ENSMUST00020182436	-38632
X	104233692	104234091	400	*	*	-5.17016619912814	Distal Intergenic	20	104208238	104208967	730	2	ENSMUSG00000083889	ENSMUST00000120991	-24725
11	117733808	117734207	400	*	*	-1.94244544405287	Distal Intergenic	11	117740077	117746558	6482	1	ENSMUSG00000017716	ENSMUST00000081387	-5870
14	59851593	59851992	400	*	*	-2.77756112054801	Distal Intergenic	14	59859565	59860116	552	2	ENSMUSG00000114804	ENSMUST00000223850	8124
1	74712468	74712867	400	*	*	-2.69567806977055	Intron (ENSMUST00000042125/ENSMUSG00000033257, intron 2 of 19)	1	74718057	74737136	19080	1	ENSMUSG00000033257	ENSMUST00000113678	-5190
17	11623900	11624299	400	*	*	-4.66089377692239	Intron (ENSMUST00000066658/ENSMUSG00000023826, intron 4 of 6)	17	11522534	11829832	307299	1	ENSMUSG00000023826	ENSMUST00000186406	101366
1	74758943	74759342	400	*	*	-3.73339559552989	Intron (ENSMUST00000027356/ENSMUSG00000026170, intron 1 of 8)	1	74752733	74777051	24319	1	ENSMUSG00000026170	ENSMUST00000027356	6210
12	75732844	75733243	400	*	*	-2.9889781825876	Distal Intergenic	12	75677370	75716311	38942	2	ENSMUSG00000045690	ENSMUST00000062370	-16533
5	48778793	48779192	400	*	*	-5.43517874710582	Intron (ENSMUST00000172363/ENSMUSG00000029088, intron 1 of 7)	5	48782011	48784495	2485	2	ENSMUSG00000105574	ENSMUST00000197775	5303
9	43661388	43661787	400	*	*	-2.52105263124653	Intron (ENSMUST00000034510/ENSMUSG00000032012, intron 1 of 5)	9	43628138	43657397	29260	2	ENSMUSG00000111334	ENSMUST00000216604	-3991
11	32962784	32963183	400	*	*	-3.28847146202712	Distal Intergenic	11	32988816	32989703	888	2	ENSMUSG00000081076	ENSMUST00000121691	26520
6	36876209	36876608	400	*	*	-3.79274505414538	Intron (ENSMUST00000101532/ENSMUSG00000038665, intron 28 of 33)	6	36913983	36962719	48737	1	ENSMUSG00000029837	ENSMUST00000031863	-37375
6	64739180	64739579	400	*	*	-3.21368075162363	Distal Intergenic	6	64706109	64708229	2121	1	ENSMUSG00000073043	ENSMUST00000101351	33071
X	102308408	102308807	400	*	*	-5.8076880770829	Intron (ENSMUST00000127012/ENSMUSG00000031325, intron 1 of 3)	20	102273634	102300220	26587	2	ENSMUSG00000031325	ENSMUST00000183292	-8188
7	114478434	114478833	400	*	*	-3.61908743298467	Distal Intergenic	7	114450579	114453806	3228	2	ENSMUSG00000108683	ENSMUST00000206842	-24628
2	38383080	38383479	400	*	*	-3.76251015309571	Promoter (2-3kb)	2	38380116	38380250	135	1	ENSMUSG00000084124	ENSMUST00000120026	2964
2	25441923	25442322	400	*	*	-1.92860254477992	Promoter (2-3kb)	2	25444321	25444561	241	2	ENSMUSG00000083528	ENSMUST00000118861	2239
5	71258463	71258862	400	*	*	-4.99366308935251	Distal Intergenic	5	71114940	71253192	138253	2	ENSMUSG00000000560	ENSMUST00000197284	-5271
16	15460503	15460902	400	*	*	-3.30696494402532	Intron (ENSMUST00000182134/ENSMUSG00000022672, intron 1 of 21)	16	15455753	15660099	204347	1	ENSMUSG00000022672	ENSMUST00000023352	4750
1	145018421	145018820	400	*	*	-3.83924448639368	Distal Intergenic	1	145040689	145041681	993	2	ENSMUSG00000099617	ENSMUST00000187574	22861
11	53612598	53612997	400	*	*	-2.62635544805292	Promoter (<=1kb)	11	53611621	53615933	4313	1	ENSMUSG00000036117	ENSMUST00000048605	977
12	66183019	66183418	400	*	*	-3.59053991933269	Distal Intergenic	12	66316039	66316825	787	1	ENSMUSG00000113531	ENSMUST00000222565	-132621
7	91781935	91782334	400	*	*	-3.03446977867335	Intron (ENSMUST00000231777/ENSMUSG00000052572, intron 18 of 27)	7	91741414	91768719	27306	2	ENSMUSG00000109382	ENSMUST00000207593	-13216
5	57394537	57394936	400	*	*	-4.72151529193851	Distal Intergenic	5	57386608	57387957	1350	1	ENSMUSG00000104739	ENSMUST00000199319	7929
7	105835643	105836042	400	*	*	-1.13612169470824	Distal Intergenic	7	105755763	105814533	58771	2	ENSMUSG00000045868	ENSMUST00000183409	-21110
2	39333449	39333848	400	*	*	-6.5695043908919	Distal Intergenic	2	39285425	39289742	4318	1	ENSMUSG00000083401	ENSMUST00000120391	48024
9	116083869	116084268	400	*	*	-3.03022247195104	Distal Intergenic	9	116047870	116078821	30952	1	ENSMUSG00000111324	ENSMUST00000217302	35999
8	76991362	76991761	400	*	*	-2.50372954725391	Intron (ENSMUST00000212103/ENSMUSG00000110485, intron 1 of 9)	8	77000972	77001078	107	2	ENSMUSG00000119876	ENSMUST00000240078	9317
10	103055717	103056116	400	*	*	-3.19297794352443	Intron (ENSMUST00000166240/ENSMUSG00000019892, intron 6 of 25)	10	103043609	103049298	5690	2	ENSMUSG00000112622	ENSMUST00000220380	-6419
5	83448432	83448831	400	*	*	-3.13143753714939	Promoter (<=1kb)	5	83447432	83448299	868	2	ENSMUSG00000081822	ENSMUST00000117478	-133
2	43543970	43544369	400	*	*	-4.42025110706799	Intron (ENSMUST00000028223/ENSMUSG00000026866, intron 10 of 13)	2	43560942	43571435	10494	1	ENSMUSG00000026866	ENSMUST00000148855	-16573
7	120907379	120907778	400	*	*	-3.2718070823205	Distal Intergenic	7	120857987	120858618	632	2	ENSMUSG00000108697	ENSMUST00000206668	-48761
10	63359971	63360370	400	*	*	-2.89601998780291	Intron (ENSMUST00000105441/ENSMUSG00000060843, intron 2 of 17)	10	63339816	64838612	1498797	1	ENSMUSG00000060843	ENSMUST00000075099	20155
18	7411077	7411476	400	*	*	-3.74481999847345	Intron (ENSMUST00000115869/ENSMUSG00000057440, intron 11 of 16)	18	7444027	7466173	22147	2	ENSMUSG00000057440	ENSMUST00000234522	54697
8	91373761	91374160	400	*	*	-3.06551840938488	Distal Intergenic	8	91396433	91401586	5154	2	ENSMUSG00000109672	ENSMUST00000211205	27426
4	14777416	14777815	400	*	*	-3.70203107220001	Intron (ENSMUST00000023917/ENSMUSG00000023151, intron 1 of 8)	4	14766335	14766565	231	1	ENSMUSG00000083280	ENSMUST00000121999	11081
18	57447983	57448382	400	*	*	-4.7865718911388	Promoter (<=1kb)	18	57447943	57448212	270	2	ENSMUSG00000118230	ENSMUST00000235284	0
2	34893339	34893738	400	*	*	-2.46592660472512	Promoter (2-3kb)	2	34881302	34890863	9562	2	ENSMUSG00000026874	ENSMUST00000125549	-2476
19	12058498	12058897	400	*	*	-2.77595847331764	Distal Intergenic	19	12050598	12055095	4498	2	ENSMUSG00000067526	ENSMUST00000214918	-3403
10	72421303	72421702	400	*	*	-3.91108188122762	Distal Intergenic	10	72363382	72363514	133	1	ENSMUSG00000077642	ENSMUST00000104454	57921
3	153047140	153047539	400	*	*	-2.41508258979793	Intron (ENSMUST00000200397/ENSMUSG00000052544, intron 3 of 4)	3	153019350	153019461	112	1	ENSMUSG00002075751	ENSMUST00020183319	27790
16	78325588	78325987	400	*	*	-3.04170966959743	Distal Intergenic	16	78344793	78357132	12340	2	ENSMUSG00000022864	ENSMUST00000232329	31145
8	53978217	53978616	400	*	*	-3.52211920768295	Distal Intergenic	8	53964833	53976456	11624	1	ENSMUSG00000031521	ENSMUST00000209811	13384
7	110604507	110604906	400	*	*	-2.61376535299921	Distal Intergenic	7	110467477	110581668	114192	2	ENSMUSG00000005611	ENSMUST00000005751	-22839
X	166703934	166704333	400	*	*	-3.74668346646655	Intron (ENSMUST00000112147/ENSMUSG00000049176, intron 3 of 19)	20	166685311	166685420	110	1	ENSMUSG00002075504	ENSMUST00020183138	18623
14	104574226	104574625	400	*	*	-2.92845861238931	Intron (ENSMUST00000228095/ENSMUSG00000115424, intron 1 of 4)	14	104616277	104696752	80476	2	ENSMUSG00000115424	ENSMUST00000227158	122127
3	85806961	85807360	400	*	*	-2.28990344120341	Distal Intergenic	3	85815660	85815766	107	2	ENSMUSG00000119325	ENSMUST00000239953	8406
1	170901842	170902241	400	*	*	0.683588151342747	Promoter (1-2kb)	1	170899795	170899856	62	2	ENSMUSG00002076366	ENSMUST00020181796	-1986
X	5371568	5371967	400	*	*	-3.96701714512587	Distal Intergenic	20	5378952	5381319	2368	2	ENSMUSG00000044597	ENSMUST00000058404	9352
1	17084131	17084530	400	*	*	-2.4040316073167	Intron (ENSMUST00000186604/ENSMUSG00000101640, intron 1 of 2)	1	17034784	17074443	39660	2	ENSMUSG00000042686	ENSMUST00000186024	-9688
10	6987470	6987869	400	*	*	-3.1895079764306	Promoter (<=1kb)	10	6988661	6988774	114	1	ENSMUSG00000081926	ENSMUST00000121411	-792
12	44920340	44920739	400	*	*	-3.38585507333212	Intron (ENSMUST00000053768/ENSMUSG00000046314, intron 4 of 5)	12	44969963	44971156	1194	1	ENSMUSG00000081636	ENSMUST00000117663	-49224
9	21469198	21469597	400	*	*	-2.11085103267111	Intron (ENSMUST00000034703/ENSMUSG00000032185, intron 1 of 15)	9	21458454	21490763	32310	1	ENSMUSG00000032185	ENSMUST00000147749	10744
16	96739209	96739608	400	*	*	-3.47973051626665	Intron (ENSMUST00000056102/ENSMUSG00000050272, intron 3 of 32)	16	96719957	96723360	3404	1	ENSMUSG00000117324	ENSMUST00000232718	19252
6	75559704	75560103	400	*	*	-4.71230185910065	Distal Intergenic	6	75549077	75550441	1365	2	ENSMUSG00000107830	ENSMUST00000203062	-9263
1	187557833	187558232	400	*	*	0.658137716290511	Intron (ENSMUST00000127489/ENSMUSG00000026610, intron 3 of 3)	1	187445002	187445232	231	1	ENSMUSG00000118492	ENSMUST00000238811	112831
17	84488208	84488607	400	*	*	-0.3094891798579	Distal Intergenic	17	84493184	84523484	30301	1	ENSMUSG00000117393	ENSMUST00000234321	-4577
X	13261973	13262372	400	*	*	-2.73109513811192	Distal Intergenic	20	13244105	13244917	813	2	ENSMUSG00000080818	ENSMUST00000118975	-17056
4	35756055	35756454	400	*	*	-4.94369113035404	Intron (ENSMUST00000164772/ENSMUSG00000045083, intron 1 of 1)	4	35706647	35845204	138558	2	ENSMUSG00000045083	ENSMUST00000164772	88750
8	3804254	3804655	402	*	*	-0.278733214420727	Distal Intergenic	8	3793397	3798984	5588	2	ENSMUSG00000031494	ENSMUST00000012847	-5270
15	61407054	61407453	400	*	*	0.203415230235748	Exon (ENSMUST00000229194/ENSMUSG00000116109, exon 2 of 2)	15	61406525	61416032	9508	2	ENSMUSG00000116109	ENSMUST00000229194	8579
7	140877733	140878132	400	*	*	-1.25481997492286	Intron (ENSMUST00000080553/ENSMUSG00000058886, intron 11 of 11)	7	140873044	140874006	963	1	ENSMUSG00000025496	ENSMUST00000209649	4689
8	94101642	94102041	400	*	*	1.18867982498685	Intron (ENSMUST00000212027/ENSMUSG00000110718, intron 1 of 1)	8	94078471	94106353	27883	2	ENSMUSG00000074156	ENSMUST00000145041	4312
10	111496378	111496777	400	*	*	-2.22658337693789	Distal Intergenic	10	111484283	111485717	1435	2	ENSMUSG00000112357	ENSMUST00000217989	-10661
5	142880803	142881202	400	*	*	-0.178419770983221	Promoter (<=1kb)	5	142852701	142881176	28476	2	ENSMUSG00000066640	ENSMUST00000110766	0
4	156368755	156369551	797	*	*	-0.215769075474279	Distal Intergenic	4	156334837	156340717	5881	2	ENSMUSG00000096351	ENSMUST00000219393	-28038
2	166905028	166905427	400	*	*	-0.160969591130798	Promoter (<=1kb)	2	166905139	166907782	2644	1	ENSMUSG00000074578	ENSMUST00000143587	0
8	49496266	49496665	400	*	*	0.162506700935625	Promoter (<=1kb)	8	49497315	49499052	1738	1	ENSMUSG00000110503	ENSMUST00000212945	-650
10	8233975	8234374	400	*	*	0.449442464836016	Intron (ENSMUST00000061601/ENSMUSG00000047712, intron 2 of 7)	10	8080520	8178006	97487	2	ENSMUSG00000047712	ENSMUST00000219116	-55969
1	24651632	24652369	738	*	*	0.153725481614542	Promoter (<=1kb)	1	24651488	24651781	294	2	ENSMUSG00000067736	ENSMUST00000088336	0
1	133588962	133589361	400	*	*	-0.158188306622976	Promoter (<=1kb)	1	133547678	133589056	41379	2	ENSMUSG00000094410	ENSMUST00000179598	0
6	81816920	81817319	400	*	*	-0.793082211718966	Promoter (1-2kb)	6	81817655	81818345	691	2	ENSMUSG00000108202	ENSMUST00000203589	1026
5	120915578	120915977	400	*	*	-0.187768839552945	Promoter (<=1kb)	5	120891163	120915726	24564	2	ENSMUSG00000032661	ENSMUST00000044833	0
11	94101832	94102231	400	*	*	-0.15291252439712	Promoter (<=1kb)	11	94102280	94106321	4042	1	ENSMUSG00000037573	ENSMUST00000041589	-49
13	112714569	112714968	400	*	*	-0.159393807185091	Promoter (2-3kb)	13	112659329	112717196	57868	2	ENSMUSG00000050377	ENSMUST00000051756	2228
8	27735004	27735403	400	*	*	0.214152696339248	Intron (ENSMUST00000211346/ENSMUSG00000031489, intron 2 of 3)	8	27718487	27740644	22158	2	ENSMUSG00000031489	ENSMUST00000211346	5241
11	105957443	105957842	400	*	*	-0.149681226116942	Promoter (<=1kb)	11	105955903	105957131	1229	2	ENSMUSG00000085255	ENSMUST00000140736	-312
8	65125908	65126307	400	*	*	0.197981774022791	Intron (ENSMUST00000048967/ENSMUSG00000037852, intron 1 of 8)	8	65045576	65146088	100513	2	ENSMUSG00000037852	ENSMUST00000048967	19781
4	133096934	133097359	426	*	*	-0.142749103939163	Promoter (<=1kb)	4	133097017	133151013	53997	1	ENSMUSG00000028854	ENSMUST00000030669	0
6	3201300	3201699	400	*	*	-0.142579064522619	Distal Intergenic	6	3207869	3208706	838	1	ENSMUSG00000107601	ENSMUST00000203560	-6170
16	4957627	4958026	400	*	*	-0.141300510132091	Distal Intergenic	16	4964973	5001798	36826	1	ENSMUSG00000091712	ENSMUST00000165810	-6947
1	4234398	4234798	401	*	*	-0.141652805473735	Intron (ENSMUST00000208660/ENSMUSG00000025900, intron 18 of 29)	1	4326457	4330742	4286	2	ENSMUSG00000102948	ENSMUST00000195384	95944
2	167530741	167531140	400	*	*	-0.141124458867891	Promoter (<=1kb)	2	167530835	167532338	1504	1	ENSMUSG00000056501	ENSMUST00000070642	0
19	32294478	32294877	400	*	*	0.21769058785527	Intron (ENSMUST00000099514/ENSMUSG00000040451, intron 2 of 9)	19	32137570	32300629	163060	2	ENSMUSG00000040451	ENSMUST00000141655	5752
5	43229784	43230183	400	*	*	0.142585099854149	Distal Intergenic	5	43216598	43218226	1629	1	ENSMUSG00000105416	ENSMUST00000196390	13186
7	139779516	139779915	400	*	*	0.153802603420376	Promoter (2-3kb)	7	139781656	139782713	1058	2	ENSMUSG00000050366	ENSMUST00000051943	2798
14	59063016	59063415	400	*	*	0.267600344861881	Distal Intergenic	14	59116282	59116764	483	2	ENSMUSG00000098157	ENSMUST00000183285	53349
6	17501410	17501809	400	*	*	0.156341936715557	Intron (ENSMUST00000115443/ENSMUSG00000009376, intron 3 of 21)	6	17491240	17571822	80583	1	ENSMUSG00000009376	ENSMUST00000080469	10170
15	58238989	58239388	400	*	*	0.159664250439666	Intron (ENSMUST00000227274/ENSMUSG00000055114, intron 1 of 10)	15	58204867	58261093	56227	2	ENSMUSG00000055114	ENSMUST00000227274	21705
17	6788453	6788852	400	*	*	0.154185002509478	Intron (ENSMUST00000231996/ENSMUSG00000116560, intron 3 of 5)	17	6779190	6796112	16923	2	ENSMUSG00000116560	ENSMUST00000231996	7260
4	65870189	65870588	400	*	*	0.319819220181234	Intron (ENSMUST00000084496/ENSMUSG00000028373, intron 5 of 21)	4	65523486	65531993	8508	1	ENSMUSG00000051675	ENSMUST00000156922	346703
3	19000560	19000959	400	*	*	0.342541701779725	Distal Intergenic	3	18807241	18807529	289	1	ENSMUSG00000103264	ENSMUST00000194363	193319
1	31549029	31549428	400	*	*	0.298977042849066	Distal Intergenic	1	31598621	31600481	1861	1	ENSMUSG00000101093	ENSMUST00000189839	-49193
18	34993999	34994398	400	*	*	-0.136968574222213	Promoter (<=1kb)	18	34994260	34998009	3750	1	ENSMUSG00000038418	ENSMUST00000165033	0
12	3934548	3934947	400	*	*	-0.936525604159977	Promoter (<=1kb)	12	3935449	3946121	10673	1	ENSMUSG00000020661	ENSMUST00000174102	-502
15	36843347	36843746	400	*	*	0.142821950974827	Promoter (<=1kb)	15	36843060	36844582	1523	1	ENSMUSG00000115750	ENSMUST00000226620	287
1	62972384	62972783	400	*	*	0.202474947283751	Distal Intergenic	1	63064901	63065005	105	1	ENSMUSG00000104991	ENSMUST00000199516	-92118
12	28049151	28049550	400	*	*	0.231039303967832	Intron (ENSMUST00000222553/ENSMUSG00000113967, intron 1 of 1)	12	28045007	28060045	15039	1	ENSMUSG00000113967	ENSMUST00000222553	4144
15	60998941	60999340	400	*	*	0.129407274183531	Distal Intergenic	15	61029718	61037584	7867	1	ENSMUSG00000116498	ENSMUST00000229334	-30378
5	64387509	64387908	400	*	*	-0.135791692985357	Promoter (<=1kb)	5	64387742	64508829	121088	1	ENSMUSG00000029174	ENSMUST00000119756	0
4	115910534	115911252	719	*	*	-0.130157850214959	Promoter (<=1kb)	4	115890039	115911073	21035	2	ENSMUSG00000028706	ENSMUST00000030475	0
1	84023315	84023714	400	*	*	-0.19424516298578	Intron (ENSMUST00000168574/ENSMUSG00000045658, intron 2 of 2)	1	84015647	84030974	15328	2	ENSMUSG00000045658	ENSMUST00000175948	7260
7	143178905	143179304	400	*	*	0.127234490087225	Promoter (2-3kb)	7	143161400	143181690	20291	2	ENSMUSG00000045362	ENSMUST00000055723	2386
11	117427435	117428087	653	*	*	-0.133154762164613	Distal Intergenic	11	117414429	117423031	8603	1	ENSMUSG00000085419	ENSMUST00000132261	13006
17	19934116	19934517	402	*	*	-0.12657798741609	Distal Intergenic	17	19947401	19948306	906	1	ENSMUSG00000093592	ENSMUST00000176687	-12884
4	15758715	15759114	400	*	*	-0.902976489648562	Distal Intergenic	4	15740930	15741767	838	2	ENSMUSG00000084181	ENSMUST00000117935	-16948
15	102874883	102875282	400	*	*	-0.128939787003812	Promoter (<=1kb)	15	102875231	102880328	5098	1	ENSMUSG00000022484	ENSMUST00000001699	0
6	21949255	21949667	413	*	*	-0.12901187188504	Promoter (<=1kb)	6	21949570	21976037	26468	1	ENSMUSG00000029670	ENSMUST00000031680	0
17	93148641	93149040	400	*	*	-0.180225370502784	Distal Intergenic	17	93025313	93026504	1192	2	ENSMUSG00000117625	ENSMUST00000234136	-122137
3	104334679	104335078	400	*	*	-0.624081360179272	Intron (ENSMUST00000199180/ENSMUSG00000032913, intron 1 of 1)	3	104324929	104325643	715	2	ENSMUSG00000106453	ENSMUST00000200606	-9036
6	72416259	72416658	400	*	*	-0.130798045194238	Promoter (<=1kb)	6	72409782	72416539	6758	2	ENSMUSG00000053907	ENSMUST00000205335	0
6	89853925	89854324	400	*	*	0.123188716782506	Promoter (<=1kb)	6	89819555	89853395	33841	2	ENSMUSG00000068232	ENSMUST00000227279	-530
3	76982414	76982813	400	*	*	0.165825863872072	Distal Intergenic	3	77012516	77012592	77	2	ENSMUSG00000088481	ENSMUST00000157856	29779
9	61525811	61526210	400	*	*	-0.120720021513564	Distal Intergenic	9	61440697	61441478	782	1	ENSMUSG00000111381	ENSMUST00000213400	85114
5	148980131	148980530	400	*	*	-0.134642014017437	Distal Intergenic	5	148985963	148987257	1295	2	ENSMUSG00000066551	ENSMUST00000155086	6727
1	160862582	160862981	400	*	*	-0.127998327547577	Promoter (<=1kb)	1	160862637	160866107	3471	1	ENSMUSG00000053332	ENSMUST00000159706	0
6	72404999	72405398	400	*	*	-0.121045674997126	Promoter (1-2kb)	6	72403600	72406241	2642	1	ENSMUSG00000053460	ENSMUST00000207000	1399
15	101144167	101144566	400	*	*	-0.127097526590014	Distal Intergenic	15	101152150	101172676	20527	1	ENSMUSG00000023034	ENSMUST00000228985	-7584
9	25141870	25142269	400	*	*	0.129657046446668	Promoter (1-2kb)	9	25139740	25140365	626	2	ENSMUSG00000111459	ENSMUST00000213430	-1505
3	135252091	135252490	400	*	*	0.118015619969835	Promoter (1-2kb)	3	135250417	135256915	6499	1	ENSMUSG00000028164	ENSMUST00000140496	1674
13	103807157	103807556	400	*	*	0.144631592361631	Intron (ENSMUST00000225130/ENSMUSG00000114206, intron 1 of 3)	13	103778434	103778540	107	1	ENSMUSG00000119233	ENSMUST00000239986	28723
18	82556222	82556621	400	*	*	0.111058336548331	Intron (ENSMUST00000091789/ENSMUSG00000041607, intron 3 of 3)	18	82541664	82542146	483	2	ENSMUSG00000061684	ENSMUST00000130005	-14076
3	95924325	95924724	400	*	*	0.108968212387041	Intron (ENSMUST00000015891/ENSMUSG00000015747, intron 14 of 14)	3	95895741	95903313	7573	2	ENSMUSG00000015745	ENSMUST00000015889	-21012
12	31346779	31347178	400	*	*	0.109841999457503	Intron (ENSMUST00000169088/ENSMUSG00000002900, intron 13 of 33)	12	31328174	31328938	765	1	ENSMUSG00000002900	ENSMUST00000164009	18605
4	132035741	132036140	400	*	*	-0.119313864881008	Promoter (<=1kb)	4	132035934	132038335	2402	1	ENSMUSG00000086290	ENSMUST00000232260	0
GL456381.1	7152	7551	400	*	*	-0.107977945012302	Distal Intergenic	31	16623	16721	99	2	ENSMUSG00002076890	ENSMUST00020183073	9170
16	28378962	28379361	400	*	*	-0.369696279463	Intron (ENSMUST00000232352/ENSMUSG00000022523, intron 1 of 4)	16	28008176	28383703	375528	2	ENSMUSG00000022523	ENSMUST00000231399	4342
